Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-05-16,81947.0,81947.0,83530.0,81202.0,113100,0.0,SCS,0.0,82366.0,2328.0,0.0
2024-05-17,81295.0,81854.0,82413.0,81016.0,330900,-0.8,SCS,-0.6829232535978694,81714.5,1397.0,-0.006852658459466809
2024-05-20,81388.0,81295.0,81947.0,81295.0,110200,0.11,SCS,0.11439817946983209,81621.0,652.0,0.0011433279461385837
2024-05-21,82785.0,81388.0,84554.0,81016.0,509700,1.72,SCS,1.7164692583673269,82785.0,3538.0,0.017019043565918324
2024-05-22,84089.0,82506.0,84554.0,82506.0,241600,1.57,SCS,1.918648340726735,83530.0,2048.0,0.019004743784778455
2024-05-23,83809.0,85486.0,85579.0,82971.0,139400,-0.33,SCS,-1.9617247268558593,84275.0,2608.0,-0.01981221955611545
2024-05-24,84648.0,82878.0,85206.0,82226.0,530500,1.0,SCS,2.1356692970390214,83716.0,2980.0,0.021131834655983894
2024-05-27,83809.0,84648.0,84648.0,82785.0,59200,-0.99,SCS,-0.991163406105283,83716.5,1863.0,-0.009961081312617637
2024-05-28,83809.0,83344.0,84741.0,83158.0,109100,0.0,SCS,0.557928585141102,83949.5,1583.0,0.005563779286408277
2024-05-29,84089.0,83903.0,85206.0,83809.0,121100,0.33,SCS,0.22168456431831995,84507.5,1397.0,0.0022143920663442174
2024-05-30,83530.0,84089.0,84089.0,82413.0,82600,-0.66,SCS,-0.6647718488744069,83251.0,1676.0,-0.0066699129858260875
2024-05-31,83809.0,84648.0,84648.0,83344.0,62300,0.33,SCS,-0.991163406105283,83996.0,1304.0,-0.009961081312617637
2024-06-03,85672.0,83903.0,87348.0,83903.0,202600,2.22,SCS,2.10838706601671,85625.5,3445.0,0.020864681411277175
2024-06-04,85486.0,86603.0,86603.0,85299.0,70000,-0.22,SCS,-1.2897936561089107,85951.0,1304.0,-0.01298183715534229
2024-06-05,85206.0,85579.0,86231.0,84927.0,94500,-0.33,SCS,-0.4358545904953318,85579.0,1304.0,-0.004368072056344374
2024-06-06,87534.0,86044.0,88465.0,85672.0,257899,2.73,SCS,1.731672167728139,87068.5,2793.0,0.017168495994260624
2024-06-07,86324.0,87534.0,88465.0,86137.0,83200,-1.38,SCS,-1.3823200127950281,87301.0,2328.0,-0.013919630238595104
