Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-05-29,87620.0,87240.0,87620.0,86669.0,8800,0.33,NCT,0.4355800091701055,87144.5,951.0,0.004346341052324121
2024-05-30,87525.0,87525.0,87811.0,87525.0,4800,-0.11,NCT,0.0,87668.0,286.0,0.0
2024-05-31,87525.0,87525.0,87906.0,86764.0,3400,0.0,NCT,0.0,87335.0,1142.0,0.0
2024-06-03,88762.0,87620.0,88952.0,87620.0,14700,1.41,NCT,1.3033553983108879,88286.0,1332.0,0.012949348097158975
2024-06-04,89238.0,88952.0,89238.0,88762.0,4600,0.54,NCT,0.3215217195790988,89000.0,476.0,0.0032100594375670255
2024-06-05,88762.0,89238.0,89238.0,88762.0,4000,-0.53,NCT,-0.5334050516596068,89000.0,476.0,-0.005348327355603644
2024-06-06,88762.0,88952.0,88952.0,88667.0,4000,0.0,NCT,-0.2135983451749258,88809.5,285.0,-0.002138267918036618
2024-06-07,89333.0,88762.0,89523.0,88762.0,9900,0.64,NCT,0.6432933011874451,89142.5,761.0,0.006412330009590406
2024-06-10,90094.0,89333.0,90379.0,89333.0,10300,0.85,NCT,0.8518688502569041,89856.0,1046.0,0.008482609229593763
2024-06-11,90570.0,90570.0,92282.0,89047.0,12000,0.53,NCT,0.0,90664.5,3235.0,0.0
2024-06-12,91331.0,90855.0,91331.0,90855.0,6300,0.84,NCT,0.5239117274778493,91093.0,476.0,0.005225440847343776
2024-06-13,91521.0,91426.0,92092.0,91331.0,9300,0.21,NCT,0.10390917244547504,91711.5,761.0,0.001038552242331292
2024-06-14,92853.0,91997.0,92948.0,91806.0,21100,1.46,NCT,0.9304651238627346,92377.0,1142.0,0.009261629632744572
2024-06-17,92853.0,92853.0,92853.0,91236.0,3000,0.0,NCT,0.0,92044.5,1617.0,0.0
2024-06-18,91616.0,92853.0,92853.0,91616.0,4100,-1.33,NCT,-1.332213283361873,92234.5,1237.0,-0.013411668538752863
2024-06-19,91902.0,91616.0,91902.0,90094.0,13800,0.31,NCT,0.31217254628012575,90998.0,1808.0,0.003116862994767544
2024-06-20,92282.0,92282.0,92282.0,91902.0,5400,0.41,NCT,0.0,92092.0,380.0,0.0
2024-06-21,94661.0,93233.0,94661.0,93233.0,24800,2.58,NCT,1.5316465200090097,93947.0,1428.0,0.015200352272328743
2024-06-24,97705.0,97039.0,97990.0,95136.0,38300,3.22,NCT,0.6863219942497346,96563.0,2854.0,0.006839775258063341
